beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Samuel Adams Tropic of Yuzu,Boston Beer Company,Pale Wheat Ale - American,Pale Wheat Ale - American,6.0,20,Tijuana Flats,Four Corners,FL,United States,28.2613,-81.6178,3.75,2017-06-23 19:55:16,United States,Boston,MA,88,30
Samuel Adams Summer Ale,Boston Beer Company,Pale Wheat Ale - American,Pale Wheat Ale - American,5.3,7,Champions Gate Sign,Kissimmee,FL,United States,28.2614,-81.6162,2.75,2017-06-23 20:26:37,United States,Boston,MA,88,30
Samuel Adams Berliner Weisse,Boston Beer Company,Sour - Berliner Weisse,Sour,4.8,15,Omni Orlando Resort at ChampionsGate,Champions Gate,FL,United States,28.2616,-81.6273,3.5,2017-06-23 20:27:25,United States,Boston,MA,88,30
Altenmünster Oktoberfest,Allgäuer Brauhaus,Festbier,Festbier,5.5,0,Germany Pavilion,Lake Buena Vista,FL,United States,28.3683,-81.5471,3.75,2017-06-24 18:35:44,Germany,Kempten,Kempten,88,30
Samuel Adams Golden Hour,Boston Beer Company,Lager - Helles,Lager - Helles,5.0,20,Champions Gate Car Wash,Kissimmee,FL,United States,28.2604,-81.6156,3.25,2017-06-25 12:40:51,United States,Boston,MA,88,30
Samuel Adams Boston Lager,Boston Beer Company,Lager - Vienna,Lager - Vienna,5.0,30,Publix,Champions Gate,FL,United States,28.2629,-81.6193,2.75,2017-06-25 13:31:01,United States,Boston,MA,88,30
Tapped Maple,Angry Orchard Cider Company,Cider,Cider,5.0,0,The Electric Chair Barber Shop,Miami,FL,United States,25.7129,-80.4484,2.0,2017-06-26 20:02:11,United States,Cincinnati,OH,89,30
Traditional Dry,Angry Orchard Cider Company,Cider,Cider,5.5,0,Old World Pizza,Miami,FL,United States,25.713,-80.4487,2.5,2017-06-26 23:01:33,United States,Cincinnati,OH,89,30
Easy Apple,Angry Orchard Cider Company,Cider,Cider,4.2,10,Eden Lakes Park,Miami,FL,United States,25.7269,-80.4535,3.0,2017-06-26 23:02:09,United States,Cincinnati,OH,89,30
Green Apple,Angry Orchard Cider Company,Cider,Cider,5.0,10,Old World Pizza,Miami,FL,United States,25.713,-80.4487,3.0,2017-06-27 14:47:28,United States,Cincinnati,OH,89,30
Stone Dry,Angry Orchard Cider Company,Cider,Cider,5.5,10,Old World Pizza,Miami,FL,United States,25.713,-80.4487,2.75,2017-06-27 16:44:56,United States,Cincinnati,OH,89,30
Deerfly IPA,Deer Creek Brewery,IPA - American,American IPA,6.8,70,Dillon Disc Golf Course,Noblesville,IN,United States,40.0037,-86.0605,3.5,2017-06-29 19:39:53,United States,Noblesville,IN,89,30
Nickel Plate,Deer Creek Brewery,Fruit Beer,Fruit Beer,4.8,17,Dillon Disc Golf Course,Noblesville,IN,United States,40.0037,-86.0605,2.75,2017-06-29 19:47:32,United States,Noblesville,IN,89,30
The Project Series - Idaho #7,Platform Beer Company,Pale Ale - American,Pale Ale,5.1,40,Dewey's Pizza,Grandview Heights,OH,United States,39.9885,-83.0418,4.0,2017-07-01 12:32:16,United States,Cleveland,OH,89,31
Juicy Watermelon,New Belgium Brewing Company,Fruit Beer,Fruit Beer,5.0,7,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.5,2017-07-02 21:35:42,United States,Fort Collins,CO,89,31
Citradelic: Exotic Lime Ale,New Belgium Brewing Company,Golden Ale,Golden Ale,5.2,21,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-02 21:38:47,United States,Fort Collins,CO,89,31
Voodoo Ranger 8 Hop Pale Ale,New Belgium Brewing Company,Pale Ale - American,Pale Ale,5.5,35,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.75,2017-07-02 21:42:29,United States,Fort Collins,CO,89,31
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,Red Ale,5.2,22,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-02 21:47:32,United States,Fort Collins,CO,89,31
Weeping Willow Wit,Mother Earth Brewing (North Carolina),Witbier,Witbier,5.0,0,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-03 21:20:18,United States,Kinston,NC,90,31
Pilot Mountain Pale Ale,Foothills Brewing,Pale Ale - American,Pale Ale,5.5,54,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.75,2017-07-03 21:23:09,United States,Winston-Salem,NC,90,31
Hoppyum IPA,Foothills Brewing,IPA - American,American IPA,6.25,78,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-03 21:37:45,United States,Winston-Salem,NC,90,31
Belgian White,Blue Moon Brewing Company,Witbier,Witbier,5.4,9,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.5,2017-07-03 21:54:16,United States,Denver,CO,90,31
Budweiser,Anheuser-Busch,Lager - North American Adjunct,Lager - North American Adjunct,5.0,12,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,1.5,2017-07-05 19:35:44,United States,St. Louis,MO,90,31
Traditional Lager,Yuengling Brewery,Lager - American Amber / Red,Lager - American Amber / Red,4.5,16,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.0,2017-07-05 19:36:15,United States,Pottsville,PA,90,31
Summer Honey Wheat,Blue Moon Brewing Company,Pale Wheat Ale - American,Pale Wheat Ale - American,5.2,15,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.5,2017-07-06 15:20:11,United States,Denver,CO,90,31
Swell Rider,D9 Brewing Company,IPA - Session / India Session Ale,American IPA,5.1,0,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-06 15:21:06,United States,Cornelius,NC,90,31
Numero Uno Agave Cerveza,Flying Dog Brewery,Lager - Pale,Lager - Pale,4.9,20,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-06 20:20:26,United States,Frederick,MD,90,31
Wildflower Witbier,Natty Greene's Brewing Co.,Witbier,Witbier,4.5,0,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.25,2017-07-06 22:11:00,United States,greensboro,NC,90,31
Snake Dog IPA,Flying Dog Brewery,IPA - American,American IPA,7.1,60,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.75,2017-07-06 23:02:24,United States,Frederick,MD,90,31
Raging Bitch Belgian IPA,Flying Dog Brewery,IPA - Belgian,American IPA,8.3,60,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,2.75,2017-07-06 23:21:41,United States,Frederick,MD,90,31
Bloodline Blood Orange Ale,Flying Dog Brewery,IPA - American,American IPA,7.0,40,Ocean Grove,Pine Knoll Shores,NC,United States,34.6912,-76.8506,3.0,2017-07-07 00:03:37,United States,Frederick,MD,90,31
Highland Pilsner,Highland Brewing Company,Pilsner - German,Pilsner,5.5,35,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.0,2017-07-07 18:14:48,United States,Asheville,NC,90,31
Highland IPA,Highland Brewing Company,IPA - American,American IPA,7.0,70,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.75,2017-07-07 18:16:14,United States,Asheville,NC,90,31
Daycation,Highland Brewing Company,IPA - Session / India Session Ale,American IPA,4.9,40,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,4.0,2017-07-07 18:19:35,United States,Asheville,NC,90,31
Hawaiian Lounge Juice Extra IPA,Highland Brewing Company,IPA - Imperial / Double,Imperial IPA,8.0,65,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.5,2017-07-07 18:21:08,United States,Asheville,NC,90,31
Gaelic Ale,Highland Brewing Company,Red Ale - American Amber / Red,Red Ale,5.6,30,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,3.0,2017-07-07 18:22:33,United States,Asheville,NC,90,31
Oatmeal Porter,Highland Brewing Company,Porter - American,Porter,5.9,35,Clawson's 1905,Beaufort,NC,United States,34.7167,-76.6651,2.75,2017-07-07 18:25:04,United States,Asheville,NC,90,31
Jalapeño Johnson,Gnometown Brewing,IPA - American,American IPA,6.3,0,Gnometown Brewing Co.,Fort Wayne,IN,United States,41.0799,-85.1379,3.0,2017-07-15 14:32:08,United States,Fort Wayne,IN,91,31
"Stapler, IPA",Gnometown Brewing,IPA - American,American IPA,8.3,72,Gnometown Brewing Co.,Fort Wayne,IN,United States,41.0799,-85.1379,3.75,2017-07-15 14:33:28,United States,Fort Wayne,IN,91,31
'Merican Gluten Beer,Gnometown Brewing,Hefeweizen,Hefeweizen,4.9,0,Gnometown Brewing Co.,Fort Wayne,IN,United States,41.0799,-85.1379,3.25,2017-07-15 14:35:31,United States,Fort Wayne,IN,91,31
Small Batch Penny Loafer,Sun King Brewing Company,IPA - American,American IPA,7.0,67,Sun King Fishers Tap Room and Small Batch Brewery,Fishers,IN,United States,39.928000000000004,-86.0242,3.75,2017-07-17 20:04:28,United States,Indianapolis,IN,92,31
Small Batch Witbier,Sun King Brewing Company,Witbier,Witbier,5.3,12,Sun King Fishers Tap Room and Small Batch Brewery,Fishers,IN,United States,39.928000000000004,-86.0242,3.25,2017-07-17 20:05:06,United States,Indianapolis,IN,92,31
Pachanga,Sun King Brewing Company,Lager - Pale,Lager - Pale,4.2,24,Sun King Fishers Tap Room and Small Batch Brewery,Fishers,IN,United States,39.928000000000004,-86.0242,3.25,2017-07-17 20:35:05,United States,Indianapolis,IN,92,31
Green Line Pale Ale,Goose Island Beer Co.,Pale Ale - American,Pale Ale,5.4,30,Pinheads - Alley's Alehouse,Fishers,IN,United States,39.9885,-86.0055,3.5,2017-07-18 20:39:31,United States,Chicago,IL,92,31
Four Star Pils,Goose Island Beer Co.,Pilsner - Other,Pilsner,5.1,44,Pinheads - Alley's Alehouse,Fishers,IN,United States,39.9885,-86.0055,2.75,2017-07-19 00:34:22,United States,Chicago,IL,92,31
312 Urban Wheat Ale,Goose Island Beer Co.,Pale Wheat Ale - American,Pale Wheat Ale - American,4.2,18,Pinheads - Alley's Alehouse,Fishers,IN,United States,39.9885,-86.0055,3.0,2017-07-19 01:35:53,United States,Chicago,IL,92,31
Strawberry Blonde,Quaff ON! Brewing Company,Blonde Ale,Blonde Ale,4.5,20,Brixx Wood Fired Pizza,Fishers,IN,United States,39.9568,-86.0173,3.5,2017-07-19 19:07:31,United States,Nashville,IN,92,31
Passion Fruit Kicker,Green Flash Brewing Company,Fruit Beer,Fruit Beer,5.5,5,Brixx Wood Fired Pizza,Fishers,IN,United States,39.9568,-86.0173,4.5,2017-07-19 19:08:14,United States,San Diego,CA,92,31
Six Foot Blonde,Quaff ON! Brewing Company,Blonde Ale,Blonde Ale,4.5,15,Dance Party,,IN,United States,39.9882,-86.0201,2.75,2017-07-19 20:25:24,United States,Nashville,IN,92,31
GFJ/Grapefruit Jungle,Sun King Brewing Company,IPA - American,American IPA,7.5,77,Sun King Fishers Tap Room and Small Batch Brewery,Fishers,IN,United States,39.928000000000004,-86.0242,3.75,2017-07-21 17:15:19,United States,Indianapolis,IN,92,31
Petal To the Kettle,Upland Brewing Company,Sour - Ale,Sour,6.0,5,,,,,,,3.0,2017-07-21 19:11:58,United States,Bloomington,IN,92,31
Workingman's Pilsner,Fountain Square Brewing Company,Pilsner - Other,Pilsner,5.0,25,Fountain Square Brewing Company,Indianapolis,IN,United States,39.7495,-86.1403,3.5,2017-07-22 16:25:53,United States,Indianapolis,IN,92,31
Preacher's Daughter Amber Ale,Fountain Square Brewing Company,Red Ale - American Amber / Red,Red Ale,5.7,20,Fountain Square Brewing Company,Indianapolis,IN,United States,39.7495,-86.1403,3.0,2017-07-22 16:26:40,United States,Indianapolis,IN,92,31
Backyard Porter,Fountain Square Brewing Company,Porter - English,Porter,5.2,18,Fountain Square Brewing Company,Indianapolis,IN,United States,39.7495,-86.1403,3.25,2017-07-22 16:28:04,United States,Indianapolis,IN,92,31
Dank Galaxy Smash,Fountain Square Brewing Company,Pale Ale - American,Pale Ale,6.9,40,Fountain Square Brewing Company,Indianapolis,IN,United States,39.7495,-86.1403,3.5,2017-07-22 16:28:47,United States,Indianapolis,IN,92,31
Lovely Rita,Fountain Square Brewing Company,Pale Ale - English,Pale Ale,5.0,4,Fountain Square Brewing Company,Indianapolis,IN,United States,39.7495,-86.1403,3.0,2017-07-22 16:30:24,United States,Indianapolis,IN,92,31
Hop For Teacher Pale Ale,Fountain Square Brewing Company,Pale Ale - American,Pale Ale,6.1,45,Fountain Square Brewing Company,Indianapolis,IN,United States,39.7495,-86.1403,3.0,2017-07-22 16:33:46,United States,Indianapolis,IN,92,31
Two Lucy's Blackberry Wheat,Thr3e Wise Men Brewing Co.,Fruit Beer,Fruit Beer,6.0,16,Thr3e Wise Men Brewing Co.,Indianapolis,IN,United States,39.8696,-86.1408,3.0,2017-07-22 20:19:38,United States,Indianapolis,IN,92,31
Golden Zoe,Thr3e Wise Men Brewing Co.,IPA - American,American IPA,6.8,82,Thr3e Wise Men Brewing Co.,Indianapolis,IN,United States,39.8696,-86.1408,3.25,2017-07-22 20:20:53,United States,Indianapolis,IN,92,31
Hop Nosh Tangerine,Uinta Brewing Company,IPA - American,American IPA,7.3,82,Scotty's Brewhouse,Indianapolis,IN,United States,39.9263,-86.09899999999999,3.75,2017-07-29 14:09:17,United States,Salt Lake City,UT,93,31
Space Dust IPA,Elysian Brewing Company,IPA - American,American IPA,8.2,62,Scotty's Brewhouse,Indianapolis,IN,United States,39.9263,-86.09899999999999,3.0,2017-07-29 14:09:37,United States,Seattle,WA,93,31
Zombie Dust,3 Floyds Brewing Company,Pale Ale - American,Pale Ale,6.2,50,,,,,,,4.25,2017-07-30 23:57:17,United States,Munster,IN,93,31
Wee Mac Scottish-Style Ale,Sun King Brewing Company,Scottish Ale,Scottish Ale,5.3,23,,,,,,,3.25,2017-07-30 23:57:40,United States,Indianapolis,IN,93,31
Sunlight Cream Ale,Sun King Brewing Company,Cream Ale,Cream Ale,5.3,20,,,,,,,3.25,2017-07-30 23:58:18,United States,Indianapolis,IN,93,31
Osiris Pale Ale,Sun King Brewing Company,Pale Ale - American,Pale Ale,5.6,50,,,,,,,3.75,2017-07-30 23:58:42,United States,Indianapolis,IN,93,31
Strawberry Pig,Christian Moerlein Brewing,Cream Ale,Cream Ale,4.9,15,The Pub Crestview Hills,Crestview Hills,KY,United States,39.0252,-84.5787,3.5,2017-08-01 16:32:49,United States,Cincinnati,OH,94,32
Pub Ale,Boddington's Brewery,English Bitter,English Bitter,4.6,0,The Pub Crestview Hills,Crestview Hills,KY,United States,39.0252,-84.5787,3.25,2017-08-01 16:34:30,England,Shamlesbury,Lancashire,94,32
Hibiscus Gose,Boulevard Brewing Co.,Sour - Gose,Sour,4.2,11,rhinehaus,Cincinnati,OH,United States,39.1085,-84.5124,3.75,2017-08-02 19:15:42,United States,Kansas City,MO,94,32
Cidergeist Bubbles,Rhinegeist Brewery,Cider,Cider,6.2,0,rhinehaus,Cincinnati,OH,United States,39.1085,-84.5124,4.25,2017-08-02 19:39:22,United States,Cincinnati,OH,94,32
Don't Talk Sh!t About Norwood,Listermann Brewing Company,Pale Ale - American,Pale Ale,4.2,31,rhinehaus,Cincinnati,OH,United States,39.1085,-84.5124,3.25,2017-08-02 21:02:48,United States,Cincinnati,OH,94,32
IPA (India Pale Ale),Arcadia Brewing Company,IPA - American,American IPA,6.0,47,,,,,,,4.25,2017-08-04 22:15:54,United States,Kalamazoo,MI,94,32
Exeter,Short's Brewing Company,Sour - Ale,Sour,6.5,12,,,,,,,4.25,2017-08-04 23:36:46,United States,Bellaire,MI,94,32
Bliss Wheat,Arbor Brewing Company Microbrewery,Hefeweizen,Hefeweizen,5.5,15,,,,,,,3.0,2017-08-05 02:11:27,United States,Ypsilanti,MI,94,32
Darken,Upland Brewing Company,Sour - Flanders Oud Bruin,Sour,9.7,13,Upland Brewing Company Tap House,Carmel,IN,United States,39.9568,-86.1428,1.75,2017-08-05 14:17:54,United States,Bloomington,IN,94,32
Cherry,Upland Brewing Company,Sour - Ale,Sour,6.0,0,Upland Brewing Company Tap House,Carmel,IN,United States,39.9568,-86.1428,3.5,2017-08-05 14:19:15,United States,Bloomington,IN,94,32
Intergalactic Jack,Tri City Brewing,Pale Ale - American,Pale Ale,5.5,46,Conner Prairie Headless Horseman,Fishers,IN,United States,39.9886,-86.0216,3.25,2017-08-05 23:43:45,United States,Bay City,MI,94,32
Saint James Mild Amber Ale,Paw Paw Brewing Company,Red Ale - American Amber / Red,Red Ale,5.1,0,,,,,,,3.0,2017-08-07 00:35:55,United States,Paw Paw,MI,95,32
Superfuzz Blood Orange Pale,Elysian Brewing Company,Pale Ale - American,Pale Ale,6.4,45,Tom's Donuts,Millgrove Township,IN,United States,41.6989,-85.0484,3.5,2017-08-10 20:38:45,United States,Seattle,WA,95,32
Ride On IPA,Golden Road Brewing,IPA - American,American IPA,6.4,54,lake james sandbar,Jamestown,IN,United States,41.6994,-85.0267,3.75,2017-08-10 21:45:11,United States,Los Angeles,CA,95,32
Wolf Pup Session IPA,Golden Road Brewing,IPA - Session / India Session Ale,American IPA,4.5,50,Schenkel's Pool & Spa,Fishers,IN,United States,39.9886,-86.0215,3.25,2017-08-13 22:58:55,United States,Los Angeles,CA,95,32
Velour Soccer Mom (2017),Sun King Brewing Company,Sour - Ale,Sour,5.5,20,,,,,,,4.25,2017-08-19 23:22:56,United States,Indianapolis,IN,96,32
Ambar Especial,La Zaragozana,Gluten-Free,Gluten-Free,5.2,0,Piscina Uruguay 10,Getafe,Madrid,España,40.323,-3.7391900000000002,2.5,2017-08-24 00:25:04,Spain,Zaragoza,Zaragoza,97,32
Grimbergen Dubbel,Brouwerij Alken-Maes,Belgian Dubbel,Belgian Dubbel,6.5,22,Asador de pollos El Bercial,Getafe,Madrid,España,40.321999999999996,-3.73769,2.25,2017-08-24 00:25:43,Belgium,Mechelen,Antwerpen,97,32
Bang Bang Sour,Bang Bang Brewing,Sour - Ale,Sour,0.0,0,the toast tavern,Madrid,Madrid,España,40.4343,-3.7134199999999997,2.25,2017-08-25 15:14:42,Spain,Madrid,Madrid,97,32
Hop Reef,GaragArt,IPA - Imperial / Double,Imperial IPA,9.0,100,the toast tavern,Madrid,Madrid,España,40.4343,-3.7134199999999997,3.25,2017-08-25 15:15:42,Spain,Vitoria-Gasteiz,Araba,97,32
Alhambra Especial,Grupo Cervezas Alhambra,Lager - North American Adjunct,Lager - North American Adjunct,5.4,0,Fartukarte,,,España,43.4683,-5.06597,3.0,2017-08-27 14:22:00,Spain,Granada,Granada,97,32
Trigo,Deva Cerveza Artesana,Witbier,Witbier,4.8,13,Oktoberfest Fiesta De La Cerveza Artesanal,,,España,40.6662,-3.77339,3.0,2017-09-23 18:05:49,Spain,33875 Tineo,Asturias,101,33
Saison,Cerveza Artesanal El Cantero,Saison / Farmhouse Ale,Saison / Farmhouse Ale,6.4,0,Oktoberfest Fiesta De La Cerveza Artesanal,,,España,40.6662,-3.77339,3.5,2017-09-23 18:07:24,Spain,30890 Puerto Lumbreras,Murcia,101,33
Samburiel,Gabarrera,Brown Ale - American,Brown Ale,5.5,39,Oktoberfest Fiesta De La Cerveza Artesanal,,,España,40.6662,-3.77339,3.0,2017-09-23 18:44:13,Spain,Mataelpino,Madrid,101,33
Tierra De Frontera,Tierra de frontera,Pale Ale - English,Pale Ale,4.5,0,Oktoberfest Fiesta De La Cerveza Artesanal,,,España,40.6662,-3.77339,3.5,2017-09-23 19:36:40,Spain,"23692 Santa Ana, Alcalá la Real",Jaén,101,33
Rosée d’Hibiscus,Brasserie Dieu du Ciel!,Witbier,Witbier,5.9,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-09-30 19:00:35,Canada,St-Jérôme,QC,102,33
Gose Limón Kaffir,Casa Bruja Brewing Co.,Sour - Gose,Sour,4.5,5,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-09-30 19:02:20,Panama,Panamá,Panamá,102,33
VII Tits,CCVK Compañía De Cervezas Del Valle Del Kahs,Pale Ale - American,Pale Ale,5.5,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.25,2017-09-30 20:02:18,Spain,Madrid,Madrid,102,33
Mad Zitric,Mad Brewing,Pale Ale - American,Pale Ale,5.2,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.25,2017-09-30 20:03:11,Spain,Madrid,Madrid,102,33
Sagres Branca,Sociedade Central de Cervejas e Bebidas SA,Pilsner - Other,Pilsner,5.0,0,Praça Duque da Terceira (Cais do Sodré),Lisboa,Lisboa,Portugal,38.705999999999996,-9.14355,2.5,2017-10-12 14:04:23,Portugal,2525-244 Vialonga,Lisboa,104,34
Somersby Apple Cider,Carlsberg Group,Cider,Cider,4.5,0,Noobai Café,Lisboa,Lisboa,Portugal,38.7096,-9.14805,3.5,2017-10-12 19:51:41,Denmark,Copenhagen,Region Hovedstaden,104,34
Somersby Blackberry,Carlsberg Group,Cider,Cider,4.5,0,Noobai Café,Lisboa,Lisboa,Portugal,38.7096,-9.14805,3.75,2017-10-12 19:52:16,Denmark,Copenhagen,Region Hovedstaden,104,34
Super Bock,Unicer Bebidas,Lager - Euro,Lager - Euro,5.2,0,,,,,,,2.75,2017-10-14 00:24:30,Portugal,Matosinhos,S. Mamede de Infesta,104,34
Sagres Preta,Sociedade Central de Cervejas e Bebidas SA,Lager - Dunkel Munich,Lager - Dunkel Munich,4.1,0,Miradouro de Santa Catarina (Adamastor),Lisboa,Lisboa,Portugal,38.7095,-9.14766,2.0,2017-10-14 21:05:42,Portugal,2525-244 Vialonga,Lisboa,104,34
Somersby Citrus Fruit,Carlsberg Group,Cider,Cider,4.5,0,"Lisboa, Portugal",,,Portugal,38.7095,-9.1487,2.25,2017-10-14 21:14:57,Denmark,Copenhagen,Region Hovedstaden,104,34
Radeberger Pilsner,Radeberger Gruppe,Pilsner - German,Pilsner,4.8,33,Mercado Municipal de Vallehermoso,Madrid,Madrid,España,40.4341,-3.7083,3.0,2017-11-02 21:37:12,Germany,Frankfurt,Frankfurt,107,35
The Barista,Clown Shoes,Brown Ale - American,Brown Ale,8.5,60,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-11-11 19:51:32,United States,Ipswich,MA,108,35
No'rway José,Basqueland Brewing Project,IPA - American,American IPA,7.2,55,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-11-11 19:52:42,Spain,Hernani,Gipuzkoa,108,35
Premium Cider with Strawberry & Lime,Kopparbergs Bryggeri,Cider,Cider,4.5,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-11-11 19:54:46,Sweden,Kopparberg,Kopparberg,108,35
Ultramar,Guerrilla Imports,Cider,Cider,6.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.0,2017-11-11 19:56:24,Spain,33394 Gijón,Asturias,108,35
Malasaña Ale ,Fábrica Maravillas,Pale Ale - American,Pale Ale,5.4,45,Fábrica Maravillas,Madrid,Madrid,España,40.4227,-3.7016400000000003,3.25,2017-11-16 21:05:47,Spain,Madrid,Madrid,109,35
Mahou Clásica,Grupo Mahou-San Miguel,Lager - Pale,Lager - Pale,4.8,0,,,,,,,2.0,2017-11-24 14:41:13,Spain,28045 Madrid,Madrid,110,35
Mahou Cinco Estrellas,Grupo Mahou-San Miguel,Lager - Pale,Lager - Pale,5.5,0,,,,,,,2.25,2017-11-24 14:45:59,Spain,28045 Madrid,Madrid,110,35
Mataelefantes Blat IPA,La Vella Caravana,IPA - White,American IPA,6.5,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.5,2017-11-24 20:11:02,Spain,Menàrguens,Lérida,110,35
Mangö,Clown Shoes,Kölsch,Kölsch,6.0,25,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,4.5,2017-11-24 20:12:29,United States,Ipswich,MA,110,35
Disobedience,Dry & Bitter Brewing Company,IPA - American,American IPA,6.0,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.75,2017-11-24 20:58:39,Denmark,Gørløse,Region Hovedstaden,110,35
Little White Cloud Gooseberry Edition,Tempest Brewing Co.,Pale Ale - New Zealand,Pale Ale,3.6,0,Taproom,Madrid,Madrid,España,40.4362,-3.7130400000000003,3.25,2017-11-24 22:04:46,Scotland,Kelso,Scottish Borders,110,35
